track,track_original,main_track,year
Adversarial Learning,Algorithms -- Adversarial Learning,Algorithms,2019
Bandit Algorithms,Algorithms -- Bandit Algorithms,Algorithms,2019
Clustering,Algorithms -- Clustering,Algorithms,2019
"Components Analysis (e.g., CCA, ICA, LDA, PCA)","Algorithms -- Components Analysis (e.g., CCA, ICA, LDA, PCA)",Algorithms,2019
Density Estimation,Algorithms -- Density Estimation,Algorithms,2019
Dynamical Systems,Algorithms -- Dynamical Systems,Algorithms,2019
Kernel Methods,Algorithms -- Kernel Methods,Algorithms,2019
Missing Data,Algorithms -- Missing Data,Algorithms,2019
Representation Learning,Algorithms -- Representation Learning,Algorithms,2019
Similarity and Distance Learning,Algorithms -- Similarity and Distance Learning,Algorithms,2019
Communication- or Memory-Bounded Learning,Applications -- Communication- or Memory-Bounded Learning,Applications,2019
Dialog- or Communication-Based Learning,Applications -- Dialog- or Communication-Based Learning,Applications,2019
Game Playing,Applications -- Game Playing,Applications,2019
"Privacy, Anonymity, and Security","Applications -- Privacy, Anonymity, and Security",Applications,2019
Recommender Systems,Applications -- Recommender Systems,Applications,2019
Web Applications and Internet Data,Applications -- Web Applications and Internet Data,Applications,2019
Biologically Plausible Deep Networks,Deep Learning -- Biologically Plausible Deep Networks,Deep Learning,2019
Deep Autoencoders,Deep Learning -- Deep Autoencoders,Deep Learning,2019
Efficient Inference Methods,Deep Learning -- Efficient Inference Methods,Deep Learning,2019
Generative Models,Deep Learning -- Generative Models,Deep Learning,2019
Interaction-Based Deep Networks,Deep Learning -- Interaction-Based Deep Networks,Deep Learning,2019
Optimization for Deep Networks,Deep Learning -- Optimization for Deep Networks,Deep Learning,2019
Predictive Models,Deep Learning -- Predictive Models,Deep Learning,2019
Recurrent Networks,Deep Learning -- Recurrent Networks,Deep Learning,2019
Visualization or Exposition Techniques for Deep Networks,Deep Learning -- Visualization or Exposition Techniques for Deep Networks,Deep Learning,2019
Combinatorial Optimization,Optimization -- Combinatorial Optimization,Optimization,2019
Causal Inference,Probabilistic Methods -- Causal Inference,Probabilistic Methods,2019
Decision and Control,Reinforcement Learning and Planning -- Decision and Control,Reinforcement Learning and Planning,2019
Exploration,Reinforcement Learning and Planning -- Exploration,Reinforcement Learning and Planning,2019
Markov Decision Processes,Reinforcement Learning and Planning -- Markov Decision Processes,Reinforcement Learning and Planning,2019
Navigation,Reinforcement Learning and Planning -- Navigation,Reinforcement Learning and Planning,2019
Computational Complexity,Theory -- Computational Complexity,Theory,2019
Frequentist Statistics,Theory -- Frequentist Statistics,Theory,2019
Hardness of Learning and Approximations,Theory -- Hardness of Learning and Approximations,Theory,2019
Learning Theory,Theory -- Learning Theory,Theory,2019
AutoML,Algorithms -- AutoML,Algorithms,2019
Large Scale Learning,Algorithms -- Large Scale Learning,Algorithms,2019
Meta-Learning,Algorithms -- Meta-Learning,Algorithms,2019
Regression,Algorithms -- Regression,Algorithms,2019
Structured Prediction,Algorithms -- Structured Prediction,Algorithms,2019
Unsupervised Learning,Algorithms -- Unsupervised Learning,Algorithms,2019
"Body Pose, Face, and Gesture Analysis","Applications -- Body Pose, Face, and Gesture Analysis",Applications,2019
Convex Optimization,Optimization -- Convex Optimization,Optimization,2019
Non-Convex Optimization,Optimization -- Non-Convex Optimization,Optimization,2019
Stochastic Optimization,Optimization -- Stochastic Optimization,Optimization,2019
Distributed Inference,Probabilistic Methods -- Distributed Inference,Probabilistic Methods,2019
Gaussian Processes,Probabilistic Methods -- Gaussian Processes,Probabilistic Methods,2019
Hierarchical Models,Probabilistic Methods -- Hierarchical Models,Probabilistic Methods,2019
MCMC,Probabilistic Methods -- MCMC,Probabilistic Methods,2019
Variational Inference,Probabilistic Methods -- Variational Inference,Probabilistic Methods,2019
Model-Based RL,Reinforcement Learning and Planning -- Model-Based RL,Reinforcement Learning and Planning,2019
Multi-Agent RL,Reinforcement Learning and Planning -- Multi-Agent RL,Reinforcement Learning and Planning,2019
Reinforcement Learning,Reinforcement Learning and Planning -- Reinforcement Learning,Reinforcement Learning and Planning,2019
Control Theory,Theory -- Control Theory,Theory,2019
Adaptive Data Analysis,Algorithms -- Adaptive Data Analysis,Algorithms,2019
Boosting and Ensemble Methods,Algorithms -- Boosting and Ensemble Methods,Algorithms,2019
Model Selection and Structure Learning,Algorithms -- Model Selection and Structure Learning,Algorithms,2019
Semi-Supervised Learning,Algorithms -- Semi-Supervised Learning,Algorithms,2019
Uncertainty Estimation,Algorithms -- Uncertainty Estimation,Algorithms,2019
Computer Vision,Applications -- Computer Vision,Applications,2019
Image Segmentation,Applications -- Image Segmentation,Applications,2019
Object Detection,Applications -- Object Detection,Applications,2019
Robotics,Applications -- Robotics,Applications,2019
Visual Scene Analysis and Interpretation,Applications -- Visual Scene Analysis and Interpretation,Applications,2019
Supervised Deep Networks,Deep Learning -- Supervised Deep Networks,Deep Learning,2019
Brain Imaging,Neuroscience and Cognitive Science -- Brain Imaging,Neuroscience and Cognitive Science,2019
Brain Mapping,Neuroscience and Cognitive Science -- Brain Mapping,Neuroscience and Cognitive Science,2019
Brain--Computer Interfaces and Neural Prostheses,Neuroscience and Cognitive Science -- Brain--Computer Interfaces and Neural Prostheses,Neuroscience and Cognitive Science,2019
Connectomics,Neuroscience and Cognitive Science -- Connectomics,Neuroscience and Cognitive Science,2019
Human or Animal Learning,Neuroscience and Cognitive Science -- Human or Animal Learning,Neuroscience and Cognitive Science,2019
Language for Cognitive Science,Neuroscience and Cognitive Science -- Language for Cognitive Science,Neuroscience and Cognitive Science,2019
Memory,Neuroscience and Cognitive Science -- Memory,Neuroscience and Cognitive Science,2019
Neuroscience,Neuroscience and Cognitive Science -- Neuroscience,Neuroscience and Cognitive Science,2019
Perception,Neuroscience and Cognitive Science -- Perception,Neuroscience and Cognitive Science,2019
Problem Solving,Neuroscience and Cognitive Science -- Problem Solving,Neuroscience and Cognitive Science,2019
Visual Perception,Neuroscience and Cognitive Science -- Visual Perception,Neuroscience and Cognitive Science,2019
Submodular Optimization,Optimization -- Submodular Optimization,Optimization,2019
Bayesian Nonparametrics,Probabilistic Methods -- Bayesian Nonparametrics,Probabilistic Methods,2019
Belief Propagation,Probabilistic Methods -- Belief Propagation,Probabilistic Methods,2019
Graphical Models,Probabilistic Methods -- Graphical Models,Probabilistic Methods,2019
Latent Variable Models,Probabilistic Methods -- Latent Variable Models,Probabilistic Methods,2019
Topic Models,Probabilistic Methods -- Topic Models,Probabilistic Methods,2019
Hierarchical RL,Reinforcement Learning and Planning -- Hierarchical RL,Reinforcement Learning and Planning,2019
Game Theory and Computational Economics,Theory -- Game Theory and Computational Economics,Theory,2019
Regularization,Theory -- Regularization,Theory,2019
Classification,Algorithms -- Classification,Algorithms,2019
Collaborative Filtering,Algorithms -- Collaborative Filtering,Algorithms,2019
Few-Shot Learning,Algorithms -- Few-Shot Learning,Algorithms,2019
Metric Learning,Algorithms -- Metric Learning,Algorithms,2019
Multitask and Transfer Learning,Algorithms -- Multitask and Transfer Learning,Algorithms,2019
Online Learning,Algorithms -- Online Learning,Algorithms,2019
Ranking and Preference Learning,Algorithms -- Ranking and Preference Learning,Algorithms,2019
Relational Learning,Algorithms -- Relational Learning,Algorithms,2019
Spectral Methods,Algorithms -- Spectral Methods,Algorithms,2019
Audio and Speech Processing,Applications -- Audio and Speech Processing,Applications,2019
Information Retrieval,Applications -- Information Retrieval,Applications,2019
Matrix and Tensor Factorization,Applications -- Matrix and Tensor Factorization,Applications,2019
Natural Language Processing,Applications -- Natural Language Processing,Applications,2019
Signal Processing,Applications -- Signal Processing,Applications,2019
Visual Question Answering,Applications -- Visual Question Answering,Applications,2019
Benchmarks,"Data, Challenges, Implementations, and Software -- Benchmarks","Data, Challenges, Implementations, and Software",2019
Data Sets or Data Repositories,"Data, Challenges, Implementations, and Software -- Data Sets or Data Repositories","Data, Challenges, Implementations, and Software",2019
Virtual Environments,"Data, Challenges, Implementations, and Software -- Virtual Environments","Data, Challenges, Implementations, and Software",2019
Attention Models,Deep Learning -- Attention Models,Deep Learning,2019
Large Deviations and Asymptotic Analysis,Theory -- Large Deviations and Asymptotic Analysis,Theory,2019
Statistical Physics of Learning,Theory -- Statistical Physics of Learning,Theory,2019
Active Learning,Algorithms -- Active Learning,Algorithms,2019
"Fairness, Accountability, and Transparency","Applications -- Fairness, Accountability, and Transparency",Applications,2019
Quantitative Finance and Econometrics,Applications -- Quantitative Finance and Econometrics,Applications,2019
Time Series Analysis,Applications -- Time Series Analysis,Applications,2019
Adversarial Networks,Deep Learning -- Adversarial Networks,Deep Learning,2019
CNN Architectures,Deep Learning -- CNN Architectures,Deep Learning,2019
Efficient Training Methods,Deep Learning -- Efficient Training Methods,Deep Learning,2019
Cognitive Science,Neuroscience and Cognitive Science -- Cognitive Science,Neuroscience and Cognitive Science,2019
Neural Coding,Neuroscience and Cognitive Science -- Neural Coding,Neuroscience and Cognitive Science,2019
Reasoning,Neuroscience and Cognitive Science -- Reasoning,Neuroscience and Cognitive Science,2019
Planning,Reinforcement Learning and Planning -- Planning,Reinforcement Learning and Planning,2019
Information Theory,Theory -- Information Theory,Theory,2019
Nonlinear Dimensionality Reduction and Manifold Learning,Algorithms -- Nonlinear Dimensionality Reduction and Manifold Learning,Algorithms,2019
Sparse Coding and Dimensionality Expansion,Algorithms -- Sparse Coding and Dimensionality Expansion,Algorithms,2019
Sparsity and Compressed Sensing,Algorithms -- Sparsity and Compressed Sensing,Algorithms,2019
Stochastic Methods,Algorithms -- Stochastic Methods,Algorithms,2019
Activity and Event Recognition,Applications -- Activity and Event Recognition,Applications,2019
Computational Biology and Bioinformatics,Applications -- Computational Biology and Bioinformatics,Applications,2019
Computational Photography,Applications -- Computational Photography,Applications,2019
Computational Social Science,Applications -- Computational Social Science,Applications,2019
Denoising,Applications -- Denoising,Applications,2019
Hardware and Systems,Applications -- Hardware and Systems,Applications,2019
Health,Applications -- Health,Applications,2019
Network Analysis,Applications -- Network Analysis,Applications,2019
Object Recognition,Applications -- Object Recognition,Applications,2019
Program Understanding and Generation,Applications -- Program Understanding and Generation,Applications,2019
Sustainability,Applications -- Sustainability,Applications,2019
Tracking and Motion in Video,Applications -- Tracking and Motion in Video,Applications,2019
Video Analysis,Applications -- Video Analysis,Applications,2019
Software Toolkits,"Data, Challenges, Implementations, and Software -- Software Toolkits","Data, Challenges, Implementations, and Software",2019
Embedding Approaches,Deep Learning -- Embedding Approaches,Deep Learning,2019
Memory-Augmented Neural Networks,Deep Learning -- Memory-Augmented Neural Networks,Deep Learning,2019
Spaces of Functions and Kernels,Theory -- Spaces of Functions and Kernels,Theory,2019
Active Learning,Active Learning,Algorithms,2018
Activity and Event Recognition,Activity and Event Recognition,Applications,2018
Adaptive Data Analysis,Adaptive Data Analysis,Algorithms,2018
Adversarial Networks,Adversarial Networks,Deep Learning,2018
Algorithms,Algorithms,Algorithms,2018
Applications,Applications,Applications,2018
Attention Models,Attention Models,Deep Learning,2018
Audio and Speech Processing,Audio and Speech Processing,Applications,2018
AutoML,AutoML,Algorithms,2018
Bandit Algorithms,Bandit Algorithms,Algorithms,2018
Bayesian Nonparametrics,Bayesian Nonparametrics,Probabilistic Methods,2018
Bayesian Theory,Bayesian Theory,NF,2018
Belief Propagation,Belief Propagation,Probabilistic Methods,2018
Benchmarks,Benchmarks,"Data, Challenges, Implementations, and Software",2018
Biologically Plausible Deep Networks,Biologically Plausible Deep Networks,Deep Learning,2018
"Body Pose, Face, and Gesture Analysis","Body Pose, Face, and Gesture Analysis",Applications,2018
Boosting and Ensemble Methods,Boosting and Ensemble Methods,Algorithms,2018
Brain--Computer Interfaces and Neural Prostheses,Brain--Computer Interfaces and Neural Prostheses,Neuroscience and Cognitive Science,2018
Brain Imaging,Brain Imaging,Neuroscience and Cognitive Science,2018
Brain Mapping,Brain Mapping,Neuroscience and Cognitive Science,2018
Brain Segmentation,Brain Segmentation,NF,2018
Causal Inference,Causal Inference,Probabilistic Methods,2018
Classification,Classification,Algorithms,2018
Clustering,Clustering,Algorithms,2018
CNN Architectures,CNN Architectures,Deep Learning,2018
Cognitive Science,Cognitive Science,Neuroscience and Cognitive Science,2018
Collaborative Filtering,Collaborative Filtering,Algorithms,2018
Combinatorial Optimization,Combinatorial Optimization,Optimization,2018
Communication- or Memory-Bounded Learning,Communication- or Memory-Bounded Learning,Applications,2018
Competitive Analysis,Competitive Analysis,NF,2018
"Components Analysis (e.g., CCA, ICA, LDA, PCA)","Components Analysis (e.g., CCA, ICA, LDA, PCA)",Algorithms,2018
Computational Biology and Bioinformatics,Computational Biology and Bioinformatics,Applications,2018
Computational Complexity,Computational Complexity,Theory,2018
Computational Photography,Computational Photography,Applications,2018
Computational Social Science,Computational Social Science,Applications,2018
Computer Vision,Computer Vision,Applications,2018
Control Theory,Control Theory,Theory,2018
Convex Optimization,Convex Optimization,Optimization,2018
"Data, Challenges, Implementations, and Software","Data, Competitions, Implementations, and Software","Data, Challenges, Implementations, and Software",2018
Data Sets or Data Repositories,Data Sets or Data Repositories,"Data, Challenges, Implementations, and Software",2018
Decision and Control,Decision and Control,Reinforcement Learning and Planning,2018
Deep Autoencoders,Deep Autoencoders,Deep Learning,2018
Deep Learning,Deep Learning,Deep Learning,2018
Denoising,Denoising,Applications,2018
Density Estimation,Density Estimation,Algorithms,2018
Dialog- or Communication-Based Learning,Dialog- or Communication-Based Learning,Applications,2018
Distributed Inference,Distributed Inference,Probabilistic Methods,2018
Dynamical Systems,Dynamical Systems,Algorithms,2018
Efficient Inference Methods,Efficient Inference Methods,Deep Learning,2018
Efficient Training Methods,Efficient Training Methods,Deep Learning,2018
Embedding Approaches,Embedding Approaches,Deep Learning,2018
Exploration,Exploration,Reinforcement Learning and Planning,2018
"Fairness, Accountability, and Transparency","Fairness, Accountability, and Transparency",Applications,2018
Few-Shot Learning,Few-Shot Learning Approaches,Algorithms,2018
Frequentist Statistics,Frequentist Statistics,Theory,2018
Game Playing,Game Playing,Applications,2018
Game Theory and Computational Economics,Game Theory and Computational Economics,Theory,2018
Gaussian Processes,Gaussian Processes,Probabilistic Methods,2018
Generative Models,Generative Models,Deep Learning,2018
Graphical Models,Graphical Models,Probabilistic Methods,2018
Hardness of Learning and Approximations,Hardness of Learning and Approximations,Theory,2018
Hardware and Systems,Hardware and Systems,Applications,2018
Hierarchical Models,Hierarchical Models,Probabilistic Methods,2018
Hierarchical RL,Hierarchical RL,Reinforcement Learning and Planning,2018
Human or Animal Learning,Human or Animal Learning,Neuroscience and Cognitive Science,2018
Image Segmentation,Image Segmentation,Applications,2018
Information Retrieval,Information Retrieval,Applications,2018
Information Theory,Information Theory,Theory,2018
Interaction-Based Deep Networks,Interaction-Based Deep Networks,Deep Learning,2018
Kernel Methods,Kernel Methods,Algorithms,2018
Language for Cognitive Science,Language for Cognitive Science,Neuroscience and Cognitive Science,2018
Large Deviations and Asymptotic Analysis,Large Deviations and Asymptotic Analysis,Theory,2018
Large Margin Methods,Large Margin Methods,NF,2018
Latent Variable Models,Latent Variable Models,Probabilistic Methods,2018
Learning Theory,Learning Theory,Theory,2018
Markov Decision Processes,Markov Decision Processes,Reinforcement Learning and Planning,2018
Matrix and Tensor Factorization,Matrix and Tensor Factorization,Applications,2018
MCMC,MCMC,Probabilistic Methods,2018
Memory,Memory,Neuroscience and Cognitive Science,2018
Memory-Augmented Neural Networks,Memory-Augmented Neural Networks,Deep Learning,2018
Meta-Learning,Meta-Learning,Algorithms,2018
Metric Learning,Metric Learning,Algorithms,2018
Missing Data,Missing Data,Algorithms,2018
Model-Based RL,Model-Based RL,Reinforcement Learning and Planning,2018
Model Selection and Structure Learning,Model Selection and Structure Learning,Algorithms,2018
Motor Control,Motor Control,NF,2018
Multi-Agent RL,Multi-Agent RL,Reinforcement Learning and Planning,2018
Multitask and Transfer Learning,Multitask and Transfer Learning,Algorithms,2018
Music Modeling and Analysis,Music Modeling and Analysis,NF,2018
Natural Language Processing,Natural Language Processing,Applications,2018
Navigation,Navigation,Reinforcement Learning and Planning,2018
Network Analysis,Network Analysis,Applications,2018
